#,Dự án,Kiểu vấn đề,Tác vụ cha,Parent task subject,Trạng thái,Mức ưu tiên,Chủ đề,Tác giả,Phân công cho,Cập nhật,Chủ đề,Phiên bản,Bắt đầu,Hết hạn,Thời gian ước lượng,Total estimated time,Thời gian,Tổng thời gian sử dụng,Tiến độ,Tạo,Đã đóng,Last updated by,Liên quan,Tập tin,Phân loại lỗi,Mã testcase,Số lần làm lại,Riêng tư,Mô tả,Last notes
5743,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Nhập Ngày hiệu lực > Ngày hết hạn -> Import thành công,Thu Hương Đỗ,Bùi Minh Tuấn,07-09-2023 11:39,"","",06-09-2023,"","","",0.00,0.00,0,06-09-2023 09:56,07-09-2023 11:39,Thu Hương Đỗ,"","clipboard-202309060956-pmvyz.png
clipboard-202309060956-xnnnb.png",Lỗi BE,2.5. QLF,,Không,"Import : Nhập Ngày hiệu lực > Ngày hết hạn

HT: Import thành công. Insert thông tin vào DB
MM: Thông báo lỗi trong file trả về:
                 - ''Ngày hiệu lực phải nhỏ hơn hoặc bằng Ngày hết hạn''

!clipboard-202309060956-pmvyz.png!

!clipboard-202309060956-xnnnb.png!
",""
5707,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Thêm mới/ cập nhật: Nhập Mã cửa hàng k hoạt động -> Import thành công,Thu Hương Đỗ,Bùi Minh Tuấn,07-09-2023 11:38,"","",06-09-2023,"","","",0.00,0.00,0,06-09-2023 09:32,07-09-2023 11:38,Thu Hương Đỗ,"","clipboard-202309060932-zmivf.png
clipboard-202309060932-5ng97.png
clipboard-202309060932-umtxc.png",Lỗi BE,2.5. QLF,,Không,"Nhập Mã cửa hàng k hoạt động

HT: Import thành công. Insert thông tin vào DB
MM: Thông báo lỗi trong file trả về:
          ''Mã cửa hàng không tồn tại hoặc không hoạt động''

!clipboard-202309060932-zmivf.png!

!clipboard-202309060932-5ng97.png!

!clipboard-202309060932-umtxc.png!
",""
5706,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Nhập Ngày hết hạn k tồn tại -> Import thành công,Thu Hương Đỗ,Bùi Minh Tuấn,07-09-2023 11:38,"","",06-09-2023,"","","",0.00,0.00,0,06-09-2023 09:22,07-09-2023 11:38,Thu Hương Đỗ,"","clipboard-202309060922-hdmyg.png
clipboard-202309060922-uciqk.png",Lỗi BE,2.5. QLF,,Không,"Nhập Ngày hết hạn k tồn tại

HT: Import thành công. Insert thông tin vào DB
MM: Thông báo lỗi trong file trả về:
          ''Ngày hết hạn không hợp lệ''

!clipboard-202309060922-hdmyg.png!

!clipboard-202309060922-uciqk.png!
",""
5703,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Import thành công. Status + Product_code của bản ghi vừa import đang = null,Thu Hương Đỗ,Bùi Minh Tuấn,05-09-2023 17:47,"","",05-09-2023,"","","",0.00,0.00,0,05-09-2023 17:26,05-09-2023 17:47,Thu Hương Đỗ,"","clipboard-202309051726-cut41.png
clipboard-202309051726-ddpbe.png",Lỗi BE,2.5. QLF,,Không,"Nhập hợp lệ tất cả các trường

HT: Import thành công. Status + Product_code của bản ghi vừa import đang = null
MM: Lưu status = 1 +  PRODUCT_CODE =  -1 (Gói cước)

!clipboard-202309051726-cut41.png!

!clipboard-202309051726-ddpbe.png!
",""
5689,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Export: Nhập hợp lệ tất cả các trường -> Báo lỗi trường Tác động k tồn tại,Thu Hương Đỗ,Bùi Minh Tuấn,06-09-2023 15:04,"","",05-09-2023,"","","",0.00,0.00,0,05-09-2023 14:21,06-09-2023 15:04,Thu Hương Đỗ,"","clipboard-202309051421-vw0jh.png
clipboard-202309051421-oicnm.png",Lỗi BE,2.5. QLF,,Không,"Export: Nhập hợp lệ tất cả các trường

HT: Báo lỗi trường Tác động k tồn tại
MM: Trả về file export thỏa mãn

!clipboard-202309051421-vw0jh.png!

!clipboard-202309051421-oicnm.png!
",""
5688,PYC_4177291,Bug,"","",Hoàn Thành,Làm ngay,"[2.5. QLF] Thêm mới + Cập nhật: Bỏ trống Mã cửa hàng, nhập Mã nhân viên -> Báo lỗi bỏ trống Mã nhân viên",Thu Hương Đỗ,Bùi Minh Tuấn,05-09-2023 17:32,"","",05-09-2023,"","","",0.00,0.00,0,05-09-2023 14:00,05-09-2023 17:32,Thu Hương Đỗ,"","clipboard-202309051400-llgjp.png
clipboard-202309051400-mayvk.png",Lỗi BE,2.5. QLF,,Không,"Import file: Bỏ trống Mã cửa hàng. Nhập Mã nhân viên

HT: Báo lỗi bỏ trống Mã nhân viên
MM: K thông báo lỗi bỏ trống Mã nhân viên

!clipboard-202309051400-llgjp.png!

!clipboard-202309051400-mayvk.png!
",""
5686,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Bình thường,[2.5. QLF] Nhập Ngày hiệu lực + Ngày hết hạn k đúng định dạng -> Thông báo lỗi chưa chính xác,Thu Hương Đỗ,Bùi Minh Tuấn,07-09-2023 11:37,"","",05-09-2023,"","","",0.00,0.00,0,05-09-2023 13:51,07-09-2023 11:37,Thu Hương Đỗ,"",clipboard-202309051351-m9dig.png,Lỗi FE,2.5. QLF,,Không,"Nhập Ngày hiệu lực + Ngày hết hạn k đúng định dạng ( or k tồn tại)

HT: Thông báo lỗi chưa chính xác
MM: Thông báo: - Ngày hiệu lực không hợp lệ
                          - Ngày hết hạn không hợp lệ

!clipboard-202309051351-m9dig.png!
",""
5684,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Nhập hợp lệ tất cả các trường -> Báo lỗi hệ thống,Thu Hương Đỗ,Bùi Minh Tuấn,05-09-2023 17:22,"","",05-09-2023,"","","",0.00,0.00,0,05-09-2023 13:30,05-09-2023 17:22,Thu Hương Đỗ,"","clipboard-202309051330-bhybd.png
clipboard-202309051330-wwgf6.png
clipboard-202309051503-63r0s.png
clipboard-202309051503-mkxwz.png",Lỗi BE,2.5. QLF,1,Không,"Nhập hợp lệ tất cả các trường

HT: Báo lỗi Loại dịch vụ k tồn tại
MM: Import thành công. Lưu thông tin vào DB

!clipboard-202309051330-bhybd.png!

!clipboard-202309051330-wwgf6.png!
","*UPDATE*

!clipboard-202309051503-63r0s.png!
!clipboard-202309051503-mkxwz.png!
"
5668,PYC_4177291,Bug,5098,2.2. Thêm mới chức năng Thêm mới Mapping bỏ qua nợ cước v2,Hoàn Thành,Làm ngay,[2.2. THÊM MỚI MAPPING BỎ QUA NỢ CƯỚC V2] Bản ghi thêm thành công có trạng thái = Hết hiệu lực,Thu Hương Đỗ,Bùi Minh Tuấn,31-08-2023 17:17,"","",31-08-2023,"","","",0.00,0.00,0,31-08-2023 13:11,31-08-2023 17:17,Thu Hương Đỗ,"","clipboard-202308311310-11bdx.png
clipboard-202308311310-zmt80.png
clipboard-202308311310-km3wk.png",Lỗi BE,THÊM MỚI MAPPING BỎ QUA NỢ CƯỚC V2,,Không,"Thêm mới 1 bản ghi hợp lệ

HT: Bản ghi vừa thêm có trạng thái Hết hiệu lực
MM: Bản ghi thêm thành công phải có trạng thái = Hiệu lực

!clipboard-202308311310-11bdx.png!

!clipboard-202308311310-zmt80.png!

!clipboard-202308311310-km3wk.png!
",""
5664,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Thêm mới: Nhập Ngày hiệu lực < Ngày hiện tại -> Import thành công,Thu Hương Đỗ,Bùi Minh Tuấn,05-09-2023 15:42,"","",30-08-2023,"","","",0.00,0.00,0,30-08-2023 15:49,05-09-2023 15:42,Thu Hương Đỗ,"","clipboard-202308301549-6ijem.png
clipboard-202308301549-krp8k.png",Lỗi BE,2.5 Thêm mới,,Không,"Thêm mới: Nhập Ngày hiệu lực < Ngày hiện tại

HT: Import thành công. Lưu thông tin DB
MM: Thông báo lỗi trong file trả về: ''Ngày hiệu lực phải lớn hơn hoặc bằng Ngày hiện tại''

!clipboard-202308301549-6ijem.png!

!clipboard-202308301549-krp8k.png!
",""
5616,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Export: Thông tin các trường Tác động + Loại dịch vụ  chưa chính xác,Thu Hương Đỗ,Bùi Minh Tuấn,06-09-2023 16:53,"","",28-08-2023,"","","",0.00,0.00,0,28-08-2023 15:57,06-09-2023 16:53,Thu Hương Đỗ,"","clipboard-202308281556-zpabm.png
clipboard-202309060911-sgqzx.png
clipboard-202309061433-wyuvn.png",Lỗi FE,2.5. TM_QLF_T/S/X/E_MBQNC_25,1,Không,"File export trả về:

HT: Thông tin các trường Tác động + Loại dịch vụ + Gói cước + Ngày hiệu lực + Ngày hết hạn + Cửa hàng + Nhân viên + Trạng thái + Ngày cập nhật chưa chính xác

MM: Thông tin chính xác:
- Tác động:  select action_code || ' - ' || name from action a where action_code = (select action_code from MAP_BUSINESS_SKIP_DEBT where map_id = :map_id);   
- Loại dịch vụ: select telecom_service_id || ' - ' || name from telecom_service t where telecom_service_id = (select telecom_service_id from MAP_BUSINESS_SKIP_DEBT where map_id = :map_id); 
-  Gói cước: Select decode(product_code,'-1','Tất cả', product_code) from MAP_BUSINESS_SKIP_DEBT where map_id = :map_id;
- Ngày hiệu lực: Định dạng: dd/mm/yyyy (k hiển thị giờ phút giây)
- Ngày hết hạn: Định dạng: dd/mm/yyyy (k hiển thị giờ phút giây)
- Cửa hàng: select shop_code || ' - ' || name from shop where shop_id = (select shop_id from MAP_BUSINESS_SKIP_DEBT where map_id = :map_id);
- Nhân viên: select staff_code|| ' - ' || name from staff where staff_id = (select staff_id from MAP_BUSINESS_SKIP_DEBT where map_id = :map_id);
- Trạng thái: Hiệu lực/ Không hiệu lực
- Ngày cập nhật: Định dạng: dd/mm/yyyy (k hiển thị giờ phút giây)

!clipboard-202309060911-sgqzx.png!
","*UPDATE:*

!clipboard-202309061433-wyuvn.png!
"
5614,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Export: Bỏ trống Tác động -> Báo lỗi hệ thống,Thu Hương Đỗ,Bùi Minh Tuấn,06-09-2023 15:02,"","",28-08-2023,"","","",0.00,0.00,0,28-08-2023 15:28,06-09-2023 15:02,Thu Hương Đỗ,"","clipboard-202308281527-a7my3.png
clipboard-202308281527-mphxa.png",Lỗi BE,2.5. TM_QLF_T/S/X/E_MBQNC_26,,Không,"Export: Bỏ trống Tác động. các trường khác nhập hợp lệ

HT: Lỗi hệ thống
MM: Trả về file export thỏa mãn đk đã import

!clipboard-202308281527-a7my3.png!

!clipboard-202308281527-mphxa.png!
",""
5612,PYC_4177291,Bug,5098,2.2. Thêm mới chức năng Thêm mới Mapping bỏ qua nợ cước v2,Hoàn Thành,Làm ngay,[2.2. Thêm mới chức năng Thêm mới Mapping bỏ qua nợ cước v2] Nhập Ngày hiệu lực > Ngày hết hạn-> Báo lỗi sai,Hải Đồng,Bùi Minh Tuấn,31-08-2023 15:12,"","",28-08-2023,"","","",0.00,0.00,0,28-08-2023 14:58,31-08-2023 15:12,Thu Hương Đỗ,"",clipboard-202308281458-hptkt.png,Lỗi BE,2.3,,Không,"!clipboard-202308281458-hptkt.png!
",""
5609,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Export: File export trả về k đúng theo đk đã import,Thu Hương Đỗ,Bùi Minh Tuấn,08-09-2023 11:59,"","",28-08-2023,"","","",0.00,0.00,0,28-08-2023 14:28,08-09-2023 11:59,Thu Hương Đỗ,"","clipboard-202308281427-hywk3.png
clipboard-202308281427-x5jhr.png
clipboard-202308281427-xk8sl.png
clipboard-202308281547-d29t3.png
clipboard-202308281547-1lqjj.png
clipboard-202308281547-bsoqg.png
clipboard-202309061540-hfjdg.png
clipboard-202309061540-eiexy.png
clipboard-202309061540-camdo.png
clipboard-202309071838-psbpv.png
clipboard-202309071839-0uf0w.png
clipboard-202309071839-o2bge.png",Lỗi BE,2.5. TM_QLF_T/S/X/E_MBQNC_44,1,Không,"Export: Nhập hợp lệ các trường
-> Kiể tra db K có kết quả thỏa mãn đk đã import

HT: Vẫn trả về file export
  -> Bản ghi trả về có khoảng thời gian hiệu lực khác vs đk đã import
MM: Thông báo: Không có dữ liệu để export

!clipboard-202309061540-hfjdg.png!

!clipboard-202309061540-eiexy.png!

!clipboard-202309061540-camdo.png!
","*UPDATE:* REOPEN

!clipboard-202309071838-psbpv.png!
!clipboard-202309071839-0uf0w.png!
!clipboard-202309071839-o2bge.png!
"
5605,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Export: Nhập Loại dịch vụ k tồn tại (or k hoạt động) -> Trả về file lỗi nhưng trong file k thông báo lỗi,Thu Hương Đỗ,Bùi Minh Tuấn,06-09-2023 14:48,"","",28-08-2023,"","","",0.00,0.00,0,28-08-2023 11:39,06-09-2023 14:48,Thu Hương Đỗ,"",clipboard-202308281139-48y9j.png,Lỗi BE,2.5. TM_QLF_T/S/X/E_MBQNC_14,,Không,"Export: Nhập Loại dịch vụ k tồn tại hoặc k hoạt động

HT: Trả về file lỗi nhưng trong file k thông báo lỗi
MM: Thông báo lỗi:
       ''Loại dịch vụ không tồn tại hoặc không hoạt động''

!clipboard-202308281139-48y9j.png!
",Chuyển sang bug #5603
5603,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,"[2.5. QLF] Export: Nhập Tác động/ Loại dịch vụ k tồn tại (or k hoạt động) , Trạng thái khác 0,1 -> Import thành công",Thu Hương Đỗ,Bùi Minh Tuấn,07-09-2023 14:08,"","",28-08-2023,"","","",0.00,0.00,0,28-08-2023 11:29,07-09-2023 14:08,Thu Hương Đỗ,"","clipboard-202308281128-dn5lq.png
clipboard-202308281128-ubjwt.png
clipboard-202309061445-shvfu.png
clipboard-202309061447-bo6v3.png",Lỗi BE,2.5. TM_QLF_T/S/X/E_MBQNC_13,,Không,"Export: 
- Nhập Tác động k tồn tại hoặc k hoạt động
- Nhập Loại dịch vụ k tồn tại hoặc k hoạt động
           - Nhập Trạng thái khác 0,1

HT: Import thành công
MM: Thông báo lỗi trong file trả về:
       - ''Mã tác động không tồn tại hoặc không hoạt động''
- ''Loại dịch vụ không tồn tại hoặc không hoạt động'' 
       - ''Trạng thái nhập vào không hợp lệ''

!clipboard-202308281128-dn5lq.png!

!clipboard-202309061445-shvfu.png!

!clipboard-202309061447-bo6v3.png!
",""
5597,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Export: Báo lỗi bỏ trống Id mapping + Tác động + Loại dịch vụ,Thu Hương Đỗ,Bùi Minh Tuấn,07-09-2023 13:28,"","",28-08-2023,"","","",0.00,0.00,0,28-08-2023 10:42,07-09-2023 13:28,Thu Hương Đỗ,"","clipboard-202308281041-wslw3.png
clipboard-202309061502-bputo.png",Lỗi BE,2.5. TM_QLF_T/S/X/E_MBQNC_12,,Không,"Export: Bỏ trống Id mapping + Tác động + Loại dịch vụ

HT: Thông báo lỗi bỏ trống
MM: K báo lỗi bỏ trống
       -> Với thao tác export: K validate bỏ trống các trường

!clipboard-202309061502-bputo.png!
",""
5593,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Export: Template file export trả về chưa chính xác,Thu Hương Đỗ,Bùi Minh Tuấn,28-08-2023 14:20,"","",27-08-2023,"","","",0.00,0.00,0,27-08-2023 22:52,28-08-2023 14:20,Thu Hương Đỗ,"","clipboard-202308272251-www7n.png
clipboard-202308272252-6qecl.png
clipboard-202308272300-tztin.png",Lỗi BE,QLF_EXPORT,,Không,"HT: Template file export trả về chưa chính xác
MM: Template file export phải giống với TLGP

!clipboard-202308272251-www7n.png!

!clipboard-202308272252-6qecl.png!

!clipboard-202308272300-tztin.png!
",""
5590,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Export: Nhập Ngày hiệu lực > Ngày hết hạn -> Báo lỗi,Thu Hương Đỗ,Bùi Minh Tuấn,07-09-2023 13:48,"","",25-08-2023,"","","",0.00,0.00,0,25-08-2023 17:55,07-09-2023 13:48,Thu Hương Đỗ,"","clipboard-202308251754-q4uli.png
clipboard-202308251755-atjga.png
clipboard-202308281450-nqmd7.png",Lỗi BE,2.5. TM_QLF_T/S/X/E_MBQNC_45,1,Không,"*bug 1:*
Exxport: Nhập Ngày hiệu lực > Ngày hết hạn
HT: Thông báo lỗi
MM: Với export k validate Nhập Ngày hiệu lực > Ngày hết hạn

*bug2:*
Exxport: Nhập Ngày hiệu lực < Ngày hiện tại
HT: Thông báo lỗi
MM: Với export k validate Ngày hiệu lực < Ngày hiện tại

!clipboard-202308251754-q4uli.png!

!clipboard-202308251755-atjga.png!
","*UPDATE:*

Nhập Ngày hiệu lực < Ngày hiện tại -> *OK*
Nhập Ngày hiệu lực > Ngày hết hạn -> *NOK*

!clipboard-202308281450-nqmd7.png!
"
5588,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Export: K có bản ghi thảo mãn nhưng k báo lỗi,Thu Hương Đỗ,Bùi Minh Tuấn,06-09-2023 15:10,"","",25-08-2023,"","","",0.00,0.00,0,25-08-2023 17:15,06-09-2023 15:10,Thu Hương Đỗ,"","clipboard-202308251713-jwjvg.png
clipboard-202308251714-4pqeh.png
clipboard-202308251714-hvd3v.png",Lỗi BE,2.5. TM_QLF_T/S/X/E_MBQNC_45,,Không,"Export: Nhập hợp lệ tất cả các trường

Hiện Trạng: Import thành công
Mong muốn: Thông báo : 'Không tìm thấy bản ghi mapping''

!clipboard-202308251713-jwjvg.png!

!clipboard-202308251714-4pqeh.png!

!clipboard-202308251714-hvd3v.png!
",""
5587,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Xóa: Nhập ID mapping hợp lệ. các trường khác nhập k hợp lệ -> Xóa k thành công,Thu Hương Đỗ,Bùi Minh Tuấn,05-09-2023 18:06,"","",25-08-2023,"","","",0.00,0.00,0,25-08-2023 16:59,05-09-2023 18:06,Thu Hương Đỗ,"","clipboard-202308251657-nro8g.png
clipboard-202308251659-xttrb.png
clipboard-202309051559-ksori.png",Lỗi BE,2.5. TM_QLF_T/S/X/E_MBQNC_46,,Không,"Xóa: Nhập ID mapping hợp lệ. các trường khác nhập k hợp lệ

HT: Xóa k thành công. Thông báo lỗi
MM: Xóa thành công
 
-> Với thao tác XÓA: chỉ validate trường ID mapping và validate nhập Ngày hiệu lực + Ngày hết hạn đúng định dạng. Các trường còn lại k validate

!clipboard-202309051559-ksori.png!

!clipboard-202308251659-xttrb.png!
",""
5575,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Xóa: Nhập ID mapping hết hiệu lực hoặc k tồn tại - > Import thành công,Thu Hương Đỗ,Bùi Minh Tuấn,08-09-2023 11:35,"","",25-08-2023,"","","",0.00,0.00,0,25-08-2023 13:37,08-09-2023 11:35,Thu Hương Đỗ,"","clipboard-202308251335-glgfg.png
clipboard-202308251336-elcpo.png
clipboard-202309051800-edmiw.png
clipboard-202309051801-8lsbg.png
clipboard-202309051801-h0ek7.png
clipboard-202309071750-wq3uh.png
clipboard-202309071750-bswie.png",Lỗi BE,2.5. TM_QLF_T/S/X/E_MBQNC_47,,Không,"Xóa: Nhập ID mapping hết hiệu lực hoặc k tồn tại

HT: Import thành công

MM: Với thao tác xóa: Validate ID mapping có tồn tại hay k:
 - K tồn tại : Thông báo lỗi: ''Id mapping không tồn tại'' 
 - Có tồn tại: 
+ Nếu bản ghi có hiệu lực : Xóa thành công 
+ Nếu bản ghi hết hiệu lực : Thông báo lỗi: ''Không xoá được bản ghi mapping hết hiệu lực''

!clipboard-202309051800-edmiw.png!

!clipboard-202309051801-8lsbg.png!

!clipboard-202309051801-h0ek7.png!
",""
