#,Dự án,Kiểu vấn đề,Tác vụ cha,Parent task subject,Trạng thái,Mức ưu tiên,Chủ đề,Tác giả,Phân công cho,Cập nhật,Chủ đề,Phiên bản,Bắt đầu,Hết hạn,Thời gian ước lượng,Total estimated time,Thời gian,Tổng thời gian sử dụng,Tiến độ,Tạo,Đã đóng,Last updated by,Liên quan,Tập tin,Phân loại lỗi,Mã testcase,Số lần làm lại,Riêng tư,Mô tả,Last notes
5570,PYC_4177291,Bug,5099,2.3. Thêm mới chức năng Cập nhật Mapping bỏ qua nợ cước v2,Hoàn Thành,Làm ngay,"[2.3. Thêm mới chức năng Cập nhật Mapping bỏ qua nợ cước v2] để trống 3 trường Tác động, Loại dịch vụ, Ngày hiệu lực -> Nhấn btn Cập nhật-> Hiển thị value cũ",Hải Đồng,Bùi Minh Tuấn,28-08-2023 13:36,"","",25-08-2023,"","","",0.00,0.00,0,25-08-2023 10:52,28-08-2023 13:36,Trịnh  Khánh Toàn,"","clipboard-202308251052-k9nyj.png
clipboard-202308251052-v7dl9.png
clipboard-202308251052-x3yqa.png",Lỗi FE,2.3,,Không,"!clipboard-202308251052-k9nyj.png!
!clipboard-202308251052-v7dl9.png!
!clipboard-202308251052-x3yqa.png!
",@haidv a Lương bảo bug này k sửa được tại vì nó để type là bắt buộc nên khi validate mà không có giá trị thì nó tự động back về giá trị cũ
5569,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Thêm mới/ cập nhật: Nhập Mã IBM = 100 ký tự -> Import thành công nhưng k lưu thông tin vào DB,Thu Hương Đỗ,Bùi Minh Tuấn,30-08-2023 10:06,"","",25-08-2023,"","","",0.00,0.00,0,25-08-2023 10:52,30-08-2023 10:06,Thu Hương Đỗ,"","clipboard-202308251051-9frua.png
clipboard-202308251052-vpgu3.png
clipboard-202308251052-to8jq.png",Lỗi BE,2.5. TM_QLF_T/S/X/E_MBQNC_35,,Không,"Thêm mới/ cập nhật: Nhập Mã IBM = 100 ký tự

Hiện trạng: Import thành công nhưng k lưu thông tin vào DB
Mong muốn: Lưu thông tin vào DB

!clipboard-202308251051-9frua.png!

!clipboard-202308251052-vpgu3.png!

!clipboard-202308251052-to8jq.png!
",""
5568,PYC_4177291,Bug,5099,2.3. Thêm mới chức năng Cập nhật Mapping bỏ qua nợ cước v2,Hoàn Thành,Làm ngay,[2.3. Thêm mới chức năng Cập nhật Mapping bỏ qua nợ cước v2] hệ thống ko validate Ngày hiệu lực ,Hải Đồng,Bùi Minh Tuấn,28-08-2023 09:04,"","",25-08-2023,"","","",0.00,0.00,0,25-08-2023 10:46,28-08-2023 09:04,Hải Đồng,"","clipboard-202308251045-3epjk.png
clipboard-202308251046-kuxcc.png
clipboard-202308251046-yigqr.png
clipboard-202308251046-xcgce.png",Lỗi BE,2.3,,Không,"!clipboard-202308251045-3epjk.png!
!clipboard-202308251046-kuxcc.png!
!clipboard-202308251046-yigqr.png!
!clipboard-202308251046-xcgce.png!
",""
5559,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Xóa: Nhập ID mapping. các trường khác bỏ trống -> Thông báo lỗi Tác động k tồn tại,Thu Hương Đỗ,Bùi Minh Tuấn,05-09-2023 17:56,"","",24-08-2023,"","","",0.00,0.00,0,24-08-2023 17:07,05-09-2023 17:56,Thu Hương Đỗ,"","clipboard-202308241707-ianns.png
clipboard-202308241707-9hpom.png
clipboard-202308251325-zflqt.png
clipboard-202308251325-fxwhc.png
clipboard-202309051439-ax0hd.png",Lỗi BE,2.5. TM_QLF_T/S/X/E_MBQNC_12,1,Không,"Import file: Xóa: Nhập ID mapping. các trường khác bỏ trống

Hiện Trạng: Báo lỗi hệ thống

Mong muốn: 
 - Nếu ID mapping nhập vào đang có hiệu lực 
      -> Import thành công. Cập nhật dữ liệu vào DB
 - Nếu ID mapping nhập vào hết hiệu lực
      -> Thông báo lỗi ở cuối dòng: ''Không xoá được bản ghi mapping hết hiệu lực''

=> Với tác động xóa: Chỉ validate trường ID mapping và validate định dạng trường Ngày hiệu lực + Ngày hết hạn. các trường khác bỏ qua k validate

!clipboard-202308241707-ianns.png!

!clipboard-202308241707-9hpom.png!
","*UPDATE 2:*

Xóa: Nhập ID mapping. các trường khác bỏ trống

HT: Thông báo lỗi Tác động k tồn tại

MM: 
- Nếu ID mapping nhập vào đang có hiệu lực => Import thành công. Cập nhật dữ liệu vào DB
- Nếu ID mapping nhập vào hết hiệu lực => Thông báo lỗi ở cuối dòng: ''Không xoá được bản ghi mapping hết hiệu lực'' 

=> Với tác động xóa: Chỉ validate trường ID mapping và validate định dạng trường Ngày hiệu lực + Ngày hết hạn. các trường khác bỏ qua k validate

!clipboard-202309051439-ax0hd.png!
"
5542,PYC_4177291,Bug,5099,2.3. Thêm mới chức năng Cập nhật Mapping bỏ qua nợ cước v2,Hoàn Thành,Làm ngay,[2.3. Thêm mới chức năng Cập nhật Mapping bỏ qua nợ cước v2] Hệ thống đang validate trường Ngày hiệu lực khi ko tác động vào,Hải Đồng,Bùi Minh Tuấn,25-08-2023 09:44,"","",24-08-2023,"","","",0.00,0.00,0,24-08-2023 11:16,25-08-2023 09:44,Hải Đồng,"",clipboard-202308241116-dfnqp.png,Lỗi BE,2.3,,Không,"ID: 121
!clipboard-202308241116-dfnqp.png!
",""
5539,PYC_4177291,Bug,5098,2.2. Thêm mới chức năng Thêm mới Mapping bỏ qua nợ cước v2,Hoàn Thành,Bình thường,[2.2. Thêm mới chức năng Thêm mới Mapping bỏ qua nợ cước v2] bỏ trống tất cả các trường -> Báo lỗi hệ thống,Hải Đồng,Bùi Minh Tuấn,25-08-2023 09:35,"","",24-08-2023,"","","",0.00,0.00,0,24-08-2023 11:04,25-08-2023 09:35,Hải Đồng,"",clipboard-202308241104-xjrp9.png,Lỗi BE,2.2,,Không,"!clipboard-202308241104-xjrp9.png!
",""
5537,PYC_4177291,Bug,5098,2.2. Thêm mới chức năng Thêm mới Mapping bỏ qua nợ cước v2,Hoàn Thành,Làm ngay,[2.2. Thêm mới chức năng Thêm mới Mapping bỏ qua nợ cước v2] bỏ trống Loại dịch vụ -> báo lỗi sai,Hải Đồng,Bùi Minh Tuấn,25-08-2023 09:34,"","",24-08-2023,"","","",0.00,0.00,0,24-08-2023 11:02,25-08-2023 09:34,Hải Đồng,"",clipboard-202308241102-7jfs9.png,Lỗi BE,2.2,,Không,"!clipboard-202308241102-7jfs9.png!
",""
5530,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,"[2.5. QLF] Export: Nhập hợp lệ ID mapping, các trường khác k nhập -> Báo lỗi hệ thống",Thu Hương Đỗ,Bùi Minh Tuấn,28-08-2023 15:03,"","",23-08-2023,"","","",0.00,0.00,0,23-08-2023 17:03,28-08-2023 15:03,Thu Hương Đỗ,"","clipboard-202308231701-mnlfh.png
clipboard-202308231701-eznkp.png
clipboard-202308251116-iyjde.png
clipboard-202308251116-tyx7f.png
clipboard-202308251116-ew7st.png",Lỗi BE,2.5. TM_QLF_T/S/X/E_MBQNC_44,1,Không,"Import file Thao tác export: Nhập hợp lệ ID mapping. Các trường khác k nhập

Hiện trạng: Hệ thống đang validate các trường k nhập
Mong muốn: K validate các trường bỏ trống. Trả về file export tương ứng

!clipboard-202308231701-mnlfh.png!

!clipboard-202308231701-eznkp.png!
"," *UPDATE:*

Hiện trạng: Hệ thống k validate các trường bỏ trống nhưng khi import file lên báo lỗi hệ thống

!clipboard-202308251116-iyjde.png!

!clipboard-202308251116-tyx7f.png!

!clipboard-202308251116-ew7st.png!
"
5508,PYC_4177291,Bug,5099,2.3. Thêm mới chức năng Cập nhật Mapping bỏ qua nợ cước v2,Hoàn Thành,Làm ngay,[2.3. Thêm mới chức năng Cập nhật Mapping bỏ qua nợ cước v2] Cập nhật bản ghi cũ -> báo lỗi,Hải Đồng,Bùi Minh Tuấn,25-08-2023 10:46,"","",23-08-2023,"","","",0.00,0.00,0,23-08-2023 10:59,25-08-2023 10:46,Hải Đồng,"","clipboard-202308231059-a8ulq.png
clipboard-202308231059-qhdot.png
clipboard-202308231059-tvqxs.png",Lỗi BE,2.3,,Không,"!clipboard-202308231059-a8ulq.png!
!clipboard-202308231059-qhdot.png!
!clipboard-202308231059-tvqxs.png!
",""
5504,PYC_4177291,Bug,5098,2.2. Thêm mới chức năng Thêm mới Mapping bỏ qua nợ cước v2,Hoàn Thành,Làm ngay,[2.2. Thêm mới chức năng Thêm mới Mapping bỏ qua nợ cước v2] Loại dịch vụ :Chọn lại option Chọn giá trị -> Hiển thị value cũ,Hải Đồng,Bùi Minh Tuấn,24-08-2023 11:08,"","",23-08-2023,"","","",0.00,0.00,0,23-08-2023 10:18,24-08-2023 11:08,Hải Đồng,"","clipboard-202308231017-kg1lm.png
clipboard-202308231017-ocfce.png
clipboard-202308231017-yzorj.png",Lỗi FE,2.2,,Không,"!clipboard-202308231017-kg1lm.png!
!clipboard-202308231017-ocfce.png!
!clipboard-202308231017-yzorj.png!
",""
5502,PYC_4177291,Bug,5098,2.2. Thêm mới chức năng Thêm mới Mapping bỏ qua nợ cước v2,Hoàn Thành,Bình thường,[2.2. Thêm mới chức năng Thêm mới Mapping bỏ qua nợ cước v2] bỏ trống Cửa hàng-> Hiển thị value = null,Hải Đồng,Bùi Minh Tuấn,24-08-2023 11:07,"","",23-08-2023,"","","",0.00,0.00,0,23-08-2023 10:07,24-08-2023 11:07,Hải Đồng,"",clipboard-202308231007-wekyj.png,Lỗi FE,2.2,,Không,"!clipboard-202308231007-wekyj.png!
",""
5495,PYC_4177291,Bug,5097,2.1. Thêm mới chức năng Tìm kiếm Mapping bỏ qua nợ cước v2,Hoàn Thành,Làm ngay," [2.1. Thêm mới chức năng Tìm kiếm Mapping bỏ qua nợ cước v2] Nhập ngày hiệu lực, Ngày hết hạn sai định dạng -> Ko báo lỗi",Hải Đồng,Bùi Minh Tuấn,25-08-2023 17:01,"","",23-08-2023,"","","",0.00,0.00,0,23-08-2023 09:29,25-08-2023 17:01,Hải Đồng,"",clipboard-202308230929-pmmgs.png,Lỗi BE,2.1,1,Không,"!clipboard-202308230929-pmmgs.png!
",do chung màn thêm mới vs tìm kiếm
5493,PYC_4177291,Bug,5097,2.1. Thêm mới chức năng Tìm kiếm Mapping bỏ qua nợ cước v2,Hoàn Thành,Làm ngay,[2.1. Thêm mới chức năng Tìm kiếm Mapping bỏ qua nợ cước v2] Màn Tìm kiếm trường Trạng thái đang thiếu option Chọn giá trị,Hải Đồng,Bùi Minh Tuấn,24-08-2023 10:49,"","",23-08-2023,"","","",0.00,0.00,0,23-08-2023 09:21,24-08-2023 10:49,Hải Đồng,"",clipboard-202308230921-fw2lo.png,Lỗi FE,2.1,,Không,"!clipboard-202308230921-fw2lo.png!
",""
5471,PYC_4177291,Bug,5099,2.3. Thêm mới chức năng Cập nhật Mapping bỏ qua nợ cước v2,Hoàn Thành,Bình thường,[2.3. Thêm mới chức năng Cập nhật Mapping bỏ qua nợ cước v2] thiếu dấu *,Hải Đồng,Bùi Minh Tuấn,22-08-2023 18:32,"","",22-08-2023,"","","",0.00,0.00,0,22-08-2023 10:58,22-08-2023 18:32,Hải Đồng,"",clipboard-202308221057-yxvyi.png,Lỗi FE,2.3,,Không,"!clipboard-202308221057-yxvyi.png!
",""
5469,PYC_4177291,Bug,5097,2.1. Thêm mới chức năng Tìm kiếm Mapping bỏ qua nợ cước v2,Hoàn Thành,Làm ngay,"[2.1+ 2.2 Thêm mới chức năng Tìm kiếm/TM Mapping bỏ qua nợ cước v2] Danh sách của hàng, Nhân viên đang hiển thị sai kích thước",Hải Đồng,Bùi Minh Tuấn,23-08-2023 09:25,"","",22-08-2023,"","","",0.00,0.00,0,22-08-2023 10:15,23-08-2023 09:25,Hải Đồng,"","clipboard-202308221014-quipe.png
clipboard-202308221014-h3kyt.png
clipboard-202308221015-am7x3.png
clipboard-202308221021-zy0te.png",Lỗi FE,2.1,,Không,"!clipboard-202308221014-quipe.png!
!clipboard-202308221014-h3kyt.png!
!clipboard-202308221015-am7x3.png!
!clipboard-202308221021-zy0te.png!
",Giới hạn kích thước bản ghi tìm kiếm thành 10 để giảm thời gian load dữ liệu
5466,PYC_4177291,Bug,5097,2.1. Thêm mới chức năng Tìm kiếm Mapping bỏ qua nợ cước v2,Hoàn Thành,Bình thường,[2.1. Thêm mới chức năng Tìm kiếm Mapping bỏ qua nợ cước v2] Sai text,Hải Đồng,Bùi Minh Tuấn,22-08-2023 18:30,"","",22-08-2023,"","","",0.00,0.00,0,22-08-2023 09:29,22-08-2023 18:30,Hải Đồng,"",clipboard-202308220928-ifmrx.png,Lỗi FE,2.1,,Không,"!clipboard-202308220928-ifmrx.png!
",""
5465,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Bình thường,"[2.5. QLF] Nhập Thao tác not in (0,1,2,3) -> Thông báo lỗi chưa chính xác",Thu Hương Đỗ,Bùi Minh Tuấn,25-08-2023 09:55,"","",21-08-2023,"","","",0.00,0.00,0,21-08-2023 18:23,25-08-2023 09:55,Thu Hương Đỗ,"",clipboard-202308211823-ws76f.png,Lỗi FE,QLF,,Không,"Import file: Nhập Thao tác not in (0,1,2,3)

Hiện trạng: Thông báo lỗi chưa chính xác
Mong muốn: Đổi thành: ''Thao tác nhập vào không hợp lệ''

!clipboard-202308211823-ws76f.png!
",""
5463,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,"[2.5. QLF] Cập nhật: Nhập Trạng thái khác 0, 1 -> Import thành công",Thu Hương Đỗ,Bùi Minh Tuấn,07-09-2023 13:39,"","",21-08-2023,"","","",0.00,0.00,0,21-08-2023 18:06,07-09-2023 13:39,Thu Hương Đỗ,"","clipboard-202308211805-ku7p1.png
clipboard-202308211805-hwjm8.png
clipboard-202309061152-iglne.png
clipboard-202309061152-6jmgt.png",Lỗi BE,QLF - Cập nhật,1,Không,"Import file: Thao tác = 2: Nhập Trạng thái khác 0, 1

Hiện trạng: Import thành công. Lưu status = giá trị trường Trạng thái đã import
Mong muốn: Thông báo lỗi trong file trả về:
                        '' Trạng thái nhập vào không hợp lệ''

!clipboard-202308211805-ku7p1.png!

!clipboard-202308211805-hwjm8.png!
","*REOPEN*


!clipboard-202309061152-iglne.png!

!clipboard-202309061152-6jmgt.png!
"
5460,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,"[2.5. QLF] Tác động Xóa : Nhập Id mapping ko tồn tại -> báo lỗi tại ô input, validate các trường thông tin khác",Hải Đồng,Bùi Minh Tuấn,24-08-2023 11:00,"","",21-08-2023,"","","",0.00,0.00,0,21-08-2023 17:18,24-08-2023 11:00,Thu Hương Đỗ,"","clipboard-202308211717-yg9uu.png
clipboard-202308231613-orqjv.png
clipboard-202308231709-qfwxa.png",Lỗi BE,2.5,1,Không,"!clipboard-202308231709-qfwxa.png!
!clipboard-202308211717-yg9uu.png!
","!clipboard-202308231613-orqjv.png!
"
5446,PYC_4177291,Bug,5099,2.3. Thêm mới chức năng Cập nhật Mapping bỏ qua nợ cước v2,Hoàn Thành,Làm ngay,"[2.3. Thêm mới chức năng Cập nhật Mapping bỏ qua nợ cước v2] Xóa giá trị trường Cửa hàng, Nhân viên -> đg hiển thị giá trị cũ",Hải Đồng,Bùi Minh Tuấn,28-08-2023 13:36,"","",21-08-2023,"","","",0.00,0.00,0,21-08-2023 15:49,28-08-2023 13:36,Trịnh  Khánh Toàn,"","clipboard-202308211549-ssz1c.png
clipboard-202308211549-8gsjy.png
clipboard-202308211549-o5evf.png
clipboard-202308211549-skq2j.png
clipboard-202308231022-934re.png",Lỗi BE,2.3,1,Không,"!clipboard-202308211549-ssz1c.png!
!clipboard-202308211549-8gsjy.png!
!clipboard-202308211549-skq2j.png!
",@haidv như bug #5570 
5436,PYC_4177291,Bug,5097,2.1. Thêm mới chức năng Tìm kiếm Mapping bỏ qua nợ cước v2,Hoàn Thành,Làm ngay, [2.1.+ 2.2 + 2.3 Thêm mới chức năng Tìm kiếm/TM/cập nhật Mapping bỏ qua nợ cước v2]Xóa giá trị ngày hiệu lực-> Đang hiển hiển thị giá trị cũ,Hải Đồng,Bùi Minh Tuấn,24-08-2023 10:48,"","",21-08-2023,"","","",0.00,0.00,0,21-08-2023 15:12,24-08-2023 10:48,Hải Đồng,"","clipboard-202308211511-jb3my.png
clipboard-202308211512-ca34b.png",Lỗi FE,2.1,,Không,"!clipboard-202308211511-jb3my.png!
!clipboard-202308211512-ca34b.png!
",""
5434,PYC_4177291,Bug,5097,2.1. Thêm mới chức năng Tìm kiếm Mapping bỏ qua nợ cước v2,Hoàn Thành,Làm ngay,[2.1. Thêm mới chức năng Tìm kiếm Mapping bỏ qua nợ cước v2] Sửa đk tìm kiếm-> hệ thống ko tìm kiếm theo đk,Hải Đồng,Bùi Minh Tuấn,24-08-2023 10:48,"","",21-08-2023,"","","",0.00,0.00,0,21-08-2023 15:07,24-08-2023 10:48,Hải Đồng,"","clipboard-202308211507-fobxp.png
clipboard-202308211507-fld8r.png
clipboard-202308211507-thv3f.png",Lỗi BE,2.1,,Không,"!clipboard-202308211507-fobxp.png!
!clipboard-202308211507-fld8r.png!
!clipboard-202308211507-thv3f.png!
",""
5430,PYC_4177291,Bug,5100,2.4. Thêm mới chức năng Xoá Mapping bỏ qua nợ cước v2,Hoàn Thành,Làm ngay,[2.2+2.3+2.4 Thêm mới/Cập nhật/Xóa Mapping bỏ qua nợ cước v2] Chưa lưu log tác động,Hải Đồng,Bùi Minh Tuấn,31-08-2023 16:22,"","",21-08-2023,"","","",0.00,0.00,0,21-08-2023 14:29,31-08-2023 16:22,Thu Hương Đỗ,"","clipboard-202308211428-apbqm.png
clipboard-202308211436-qe3d0.png",Lỗi BE,2.2+2.3+2.4,,Không,"!clipboard-202308211436-qe3d0.png!
",""
5418,PYC_4177291,Bug,5098,2.2. Thêm mới chức năng Thêm mới Mapping bỏ qua nợ cước v2,Hoàn Thành,Làm ngay,[2.2. + 2.3 Thêm mới chức năng Thêm mới/CN Mapping bỏ qua nợ cước v2] Danh sách cửa hàng đang sắp xếp sai,Hải Đồng,Bùi Minh Tuấn,23-08-2023 10:04,"","",21-08-2023,"","","",0.00,0.00,0,21-08-2023 11:42,23-08-2023 09:49,Hải Đồng,"","clipboard-202308211142-5j0wf.png
clipboard-202308221001-ityyo.png
clipboard-202308221002-iuuz4.png",Lỗi BE,2.2,1,Không,"!clipboard-202308211142-5j0wf.png!
","Hải Đồng đã viết:
> !clipboard-202308211142-5j0wf.png!

Sự khác biệt cho tìm kiếm thêm dấu space, "
5669,PYC_4177291,Bug,5099,2.3. Thêm mới chức năng Cập nhật Mapping bỏ qua nợ cước v2,Làm lại,Làm ngay,[2.3. CẬP NHẬT MAPPING BỎ QUA NỢ CƯỚC V2] Create_user + Create_datetime lưu chưa chính xác,Thu Hương Đỗ,Bùi Minh Tuấn,31-08-2023 16:47,"","",31-08-2023,"","","",0.00,0.00,0,31-08-2023 15:40,"",Thu Hương Đỗ,"","clipboard-202308311538-lqpgf.png
clipboard-202308311538-q8a0l.png
clipboard-202308311538-d644j.png
clipboard-202308311647-20izl.png
clipboard-202308311647-qfd6a.png",Lỗi BE,2.3. CẬP NHẬT MAPPING BỎ QUA NỢ CƯỚC V2,1,Không,"B1. Dùng user đăng nhâp = VTT1
      Thêm mới thành công 1 bản ghi mapping
      -> Hiện trạng: create_user lưu đúng = user đăng nhập

B2. Dùng user đăng nhập = PRODUCT 
      Cập nhật bản ghi vừa thêm thành công ở B1

HT: - Create_user bị chuyển thành PRODUCT
      - Create_datetime bị null

MM: - Create_user phải là VTT1 (như B1)
       - Create_datetime phải giữ nguyên như B1
-> Sau khi cập nhật bản ghi, chỉ thay đổi update_user + update_datetime

!clipboard-202308311538-lqpgf.png!

!clipboard-202308311538-q8a0l.png!

!clipboard-202308311538-d644j.png!
","B1. Dùng user đăng nhập = VTT1
      Thêm mới thành công 1 bản ghi

-> Hiện trạng: create_user đang = null
     Mong muốn: create_user = VTT1

B2. Dùng user đăng nhập = PRODUCT
      Cập nhật thành công bản ghi ở B1

-> Hiện trạng: - update create_user = PRODUCT
                      - update_user vẫn giữ nguyên
                      - update create_datetime = null

Mong muốn: - create_user phải giữ nguyên = VTT1
                     - update update_user = PRODUCT
                     - create_datetime phải giữ nguyên

!clipboard-202308311647-20izl.png!

!clipboard-202308311647-qfd6a.png!
"
5806,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Chờ test,Làm ngay,[2.5. QLF] Trong cùng 1 file: Vừa có bản ghi k hợp lệ. vừa có bản ghi export hợp lệ -> Chỉ trả về file export. K thấy trả về file lỗi,Thu Hương Đỗ,Bùi Minh Tuấn,08-09-2023 15:45,"","",08-09-2023,"","","",0.00,0.00,0,08-09-2023 14:46,"",Bùi Minh Tuấn,"","clipboard-202309081446-ocq6l.png
clipboard-202309081446-bgkbm.png",Lỗi BE,2.5. QLF,,Không,"Trong cùng 1 file có 3 bản ghi: 2 bản ghi nhập k hợp lệ + 1 bản ghi export nhập hợp lệ

HT: Chỉ trả về file export. K thấy trả về file lỗi
MM: Trả cả file thông báo lỗi về

!clipboard-202309081446-ocq6l.png!

!clipboard-202309081446-bgkbm.png!
",""
5769,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Chờ test,Làm ngay,"[2.5. QLF] Trong cùng 1 file: Vừa có bản ghi hợp lệ. vừa có bản ghi hợp lệ -> K thông báo SUCCESS cho bản ghi hợp lệ, cx k insert vào DB",Thu Hương Đỗ,Bùi Minh Tuấn,08-09-2023 15:46,"","",06-09-2023,"","","",0.00,0.00,0,06-09-2023 18:38,"",Bùi Minh Tuấn,"","clipboard-202309061837-6mius.png
clipboard-202309061838-7dgso.png
clipboard-202309071129-eccvc.png
clipboard-202309071129-g6k0y.png
clipboard-202309071129-rznxg.png",Lỗi BE,2.5. QLF],1,Không,"Trong cùng 1 file: Vừa có bản ghi hợp lệ. vừa có bản ghi hợp lệ

HT: Báo lỗi cả ở bản ghi nhập hợp lệ

MM: Trả về file thông báo lỗi: 
      - Bản ghi hợp lệ -> Thông báo: SUCCESS + Insert thông tin vào DB
       - Bản ghi k hợp lệ -> Thông báo lỗi tương ứng trong file trả về

!clipboard-202309061837-6mius.png!

!clipboard-202309061838-7dgso.png!
","*UPDATE:*

!clipboard-202309071129-eccvc.png!

!clipboard-202309071129-g6k0y.png!

!clipboard-202309071129-rznxg.png!
"
5613,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Chờ test,Bình thường,[2.5. QLF] File export trả về: Tên file + tên sheet chưa chính xác,Thu Hương Đỗ,Bùi Minh Tuấn,08-09-2023 15:50,"","",28-08-2023,"","","",0.00,0.00,0,28-08-2023 14:59,"",Bùi Minh Tuấn,"",clipboard-202308281458-xn7px.png,Lỗi FE,2.5. TM_QLF_T/S/X/E_MBQNC_1,,Không,"File export trả về:

HT: Tên file + tên sheet chưa chính xác
MM: Đổi thành: DSMappingBoQuaNoCuoc

!clipboard-202308281458-xn7px.png!
",""
